Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
 136.761111;CO;japan-soramame;ppm;0.2;2024-03-10T13:30:00+05:30;Japan
 133.988333;NOX;japan-soramame;ppm;0.01;2024-03-10T13:30:00+05:30;Japan
 133.9375;SO2;japan-soramame;ppm;0.003;2024-03-10T13:30:00+05:30;Japan
 133.9375;NOX;japan-soramame;ppm;0.009;2024-03-10T13:30:00+05:30;Japan
 134.052778;SO2;japan-soramame;ppm;0.003;2024-03-10T13:30:00+05:30;Japan
 137.171111;NO;japan-soramame;ppm;0.0;2024-03-10T13:30:00+05:30;Japan
 140.870833;PM2.5;japan-soramame;µg/m³;4.0;2024-03-10T13:30:00+05:30;Japan
 139.5625;NO2;japan-soramame;ppm;0.002;2024-03-10T13:30:00+05:30;Japan
 139.712222;PM2.5;japan-soramame;µg/m³;7.0;2024-03-10T13:30:00+05:30;Japan
 139.694722;NO;japan-soramame;ppm;0.005;2024-03-10T13:30:00+05:30;Japan
 139.617222;NO;japan-soramame;ppm;0.001;2024-03-10T13:30:00+05:30;Japan
 139.606944;PM2.5;japan-soramame;µg/m³;2.0;2024-03-10T13:30:00+05:30;Japan
 139.63;NO;japan-soramame;ppm;0.003;2024-03-10T13:30:00+05:30;Japan
 140.071389;NO;japan-soramame;ppm;0.001;2024-03-10T13:30:00+05:30;Japan
 140.896111;NO;japan-soramame;ppm;0.0;2024-03-10T13:30:00+05:30;Japan
 139.634167;NO2;japan-soramame;ppm;0.003;2024-03-10T13:30:00+05:30;Japan
 139.5725;NO;japan-soramame;ppm;0.0;2024-03-10T13:30:00+05:30;Japan
 139.673889;NOX;japan-soramame;ppm;0.001;2024-03-10T13:30:00+05:30;Japan
 139.735;PM2.5;japan-soramame;µg/m³;6.0;2024-03-10T13:30:00+05:30;Japan
 132.461111;NO2;japan-soramame;ppm;0.013;2024-03-10T13:30:00+05:30;Japan
 132.5125;NOX;japan-soramame;ppm;0.002;2024-03-10T13:30:00+05:30;Japan
 132.426111;NOX;japan-soramame;ppm;0.016;2024-03-10T13:30:00+05:30;Japan
 131.67499999999998;NO2;japan-soramame;ppm;0.003;2024-03-10T13:30:00+05:30;Japan
 136.239444;NOX;japan-soramame;ppm;0.002;2024-03-10T13:30:00+05:30;Japan
 134.511944;NO;japan-soramame;ppm;0.0;2024-03-10T13:30:00+05:30;Japan
 137.432222;PM2.5;japan-soramame;µg/m³;5.0;2024-03-10T13:30:00+05:30;Japan
 140.324722;NOX;japan-soramame;ppm;0.003;2024-03-10T13:30:00+05:30;Japan
 139.474722;NOX;japan-soramame;ppm;0.002;2024-03-10T13:30:00+05:30;Japan
 138.055;PM2.5;japan-soramame;µg/m³;3.0;2024-03-10T13:30:00+05:30;Japan
 138.055;NO2;japan-soramame;ppm;0.002;2024-03-10T13:30:00+05:30;Japan
 140.301944;NO;japan-soramame;ppm;0.0;2024-03-10T13:30:00+05:30;Japan
 139.124167;NO;japan-soramame;ppm;0.0;2024-03-10T13:30:00+05:30;Japan
 140.585833;NO;japan-soramame;ppm;0.0;2024-03-10T13:30:00+05:30;Japan
 137.067778;NO;japan-soramame;ppm;0.0;2024-03-10T13:30:00+05:30;Japan
 139.346667;PM2.5;japan-soramame;µg/m³;3.0;2024-01-16T09:30:00+05:30;Japan
 139.748889;NO2;japan-soramame;ppm;0.001;2024-03-10T13:30:00+05:30;Japan
 140.070833;NOX;japan-soramame;ppm;0.003;2024-03-10T13:30:00+05:30;Japan
 139.941389;NOX;japan-soramame;ppm;0.01;2024-03-10T13:30:00+05:30;Japan
 141.395833;PM2.5;japan-soramame;µg/m³;5.0;2024-03-10T13:30:00+05:30;Japan
